key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:require_h1_alignment,false
sweep_at:2024.12.02 16:45,1
sweep_at:2024.12.04 15:30,1
sweep_at:2024.12.05 16:00,1
sweep_at:2024.12.12 17:00,1
sweep_at:2024.12.16 17:00,1
sweep_at:2024.12.23 15:45,1
sweep_at:2024.12.24 15:45,1
sweep_at:2024.12.27 15:45,1
sweep_at:2024.12.27 16:45,1
sweep_at:2024.12.31 15:45,1
sweep_at:2024.12.31 16:30,1
sweep_at:2025.01.03 17:45,1
sweep_at:2025.01.06 16:15,1
sweep_at:2025.01.06 16:30,1
sweep_at:2025.01.06 17:30,1
sweep_at:2025.01.10 15:45,1
sweep_at:2025.01.17 15:45,1
sweep_at:2025.01.17 17:30,1
sweep_at:2025.01.23 15:30,1
sweep_at:2025.01.23 17:00,1
sweep_at:2025.01.27 16:00,1
sweep_at:2025.01.27 16:45,1
sweep_at:2025.01.28 16:45,1
sweep_at:2025.02.03 16:30,1
sweep_at:2025.02.03 17:45,1
sweep_at:2025.02.06 17:15,1
sweep_at:2025.02.06 17:45,1
sweep_at:2025.02.07 15:45,1
sweep_at:2025.02.11 15:30,1
sweep_at:2025.02.11 17:15,1
sweep_at:2025.02.12 15:30,1
sweep_at:2025.02.12 16:00,1
sweep_at:2025.02.12 16:30,1
sweep_at:2025.02.12 17:00,1
sweep_at:2025.02.14 16:15,1
sweep_at:2025.02.14 17:45,1
sweep_at:2025.02.20 16:45,1
sweep_at:2025.02.21 15:45,1
sweep_at:2025.02.21 17:30,1
sweep_at:2025.02.25 15:45,1
sweep_at:2025.03.03 15:30,1
sweep_at:2025.03.05 16:00,1
sweep_at:2025.03.06 16:15,1
sweep_at:2025.03.06 16:45,1
sweep_at:2025.03.07 16:15,1
sweep_at:2025.03.10 16:00,1
sweep_at:2025.03.10 16:15,1
sweep_at:2025.03.12 15:45,1
sweep_at:2025.03.14 17:30,1
sweep_at:2025.03.19 16:30,1
sweep_at:2025.03.26 16:15,1
sweep_at:2025.03.26 17:15,1
sweep_at:2025.04.08 15:30,1
sweep_at:2025.04.14 16:30,1
sweep_at:2025.04.29 15:30,1
sweep_at:2025.05.02 15:30,1
sweep_at:2025.05.05 16:00,1
sweep_at:2025.05.06 17:30,1
sweep_at:2025.05.09 15:45,1
sweep_at:2025.05.15 16:30,1
sweep_at:2025.05.22 17:15,1
sweep_at:2025.05.26 15:45,1
sweep_at:2025.05.26 16:30,1
sweep_at:2025.05.28 16:15,1
sweep_at:2025.05.29 16:15,1
sweep_at:2025.05.29 17:45,1
sweep_at:2025.06.03 15:30,1
sweep_at:2025.06.10 16:00,1
sweep_at:2025.06.16 16:30,1
sweep_at:2025.06.17 17:45,1
sweep_at:2025.06.20 17:30,1
sweep_at:2025.06.23 17:00,1
sweep_at:2025.06.25 15:45,1
sweep_at:2025.06.30 16:00,1
sweep_at:2025.07.01 15:30,1
sweep_at:2025.07.02 16:00,1
sweep_at:2025.07.10 17:00,1
sweep_at:2025.07.14 16:15,1
sweep_at:2025.07.15 17:00,1
sweep_at:2025.07.18 16:00,1
sweep_at:2025.07.21 16:15,1
sweep_at:2025.07.22 17:00,1
sweep_at:2025.07.29 16:15,1
sweep_at:2025.07.31 16:00,1
sweep_at:2025.08.01 15:30,1
sweep_at:2025.08.05 16:00,1
sweep_at:2025.08.05 16:45,1
sweep_at:2025.08.06 17:00,1
sweep_at:2025.08.11 15:45,1
sweep_at:2025.08.14 15:45,1
sweep_at:2025.08.14 17:30,1
sweep_at:2025.08.18 17:15,1
sweep_at:2025.08.19 16:30,1
sweep_at:2025.08.19 18:00,1
sweep_at:2025.08.20 17:15,1
sweep_at:2025.08.21 16:00,1
sweep_at:2025.08.22 16:30,1
sweep_at:2025.09.04 16:30,1
sweep_at:2025.09.12 15:45,1
sweep_at:2025.09.12 16:30,1
sweep_at:2025.09.17 16:15,1
sweep_at:2025.09.18 17:00,1
sweep_at:2025.09.25 17:00,1
sweep_at:2025.09.30 16:00,1
sweep_at:2025.09.30 17:15,1
sweep_at:2025.10.13 15:45,1
sweep_at:2025.10.14 15:45,1
sweep_at:2025.10.17 17:45,1
sweep_at:2025.10.23 17:15,1
sweep_at:2025.10.29 16:15,1
sweep_at:2025.10.29 18:00,1
sweep_at:2025.10.31 15:30,1
sweep_at:2025.11.03 17:30,1
sweep_at:2025.11.05 16:45,1
sweep_at:2025.11.05 17:15,1
sweep_at:2025.11.06 16:15,1
sweep_at:2025.11.06 17:15,1
sweep_at:2025.11.07 16:30,1
sweep_at:2025.11.11 17:30,1
sweep_at:2025.11.12 16:30,1
sweep_at:2025.11.18 16:00,1
sweep_at:2025.11.19 17:30,1
sweep_at:2025.11.21 16:15,1
sweep_at:2025.11.24 15:30,1
sweep_at:2025.11.24 16:45,1
sweep_at:2025.11.25 16:30,1
sweep_at:2025.11.26 15:45,1
sweep_at:2025.12.02 16:00,1
sweep_at:2025.12.05 15:45,1
sweep_at:2025.12.09 16:15,1
sweep_at:2025.12.23 16:15,1
sweep_at:2025.12.24 17:15,1
sweep_at:2025.12.30 15:45,1
sweep_at:2026.01.02 15:30,1
sweep_at:2026.01.02 17:00,1
sweep_at:2026.01.07 15:30,1
