key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:require_h1_alignment,true
sweep_at:2025.06.03 08:45,1
sweep_at:2025.06.03 15:30,1
sweep_at:2025.06.04 14:45,1
sweep_at:2025.06.06 04:15,1
sweep_at:2025.06.10 10:45,1
sweep_at:2025.06.10 14:45,1
sweep_at:2025.06.10 15:15,1
sweep_at:2025.06.16 08:15,1
sweep_at:2025.06.16 09:45,1
sweep_at:2025.06.23 15:15,1
sweep_at:2025.06.23 17:00,1
sweep_at:2025.06.25 12:15,1
sweep_at:2025.07.07 23:00,1
sweep_at:2025.07.08 01:30,1
sweep_at:2025.07.10 17:00,1
sweep_at:2025.07.11 04:15,1
sweep_at:2025.07.29 10:00,1
sweep_at:2025.07.31 08:15,1
sweep_at:2025.07.31 11:00,1
sweep_at:2025.08.05 07:15,1
sweep_at:2025.08.05 16:45,1
sweep_at:2025.08.07 01:15,1
sweep_at:2025.08.19 03:15,1
sweep_at:2025.08.19 16:30,1
sweep_at:2025.08.21 07:30,1
sweep_at:2025.08.22 17:15,1
sweep_at:2025.08.27 08:00,1
sweep_at:2025.08.29 08:30,1
sweep_at:2025.08.29 13:45,1
sweep_at:2025.09.02 11:15,1
sweep_at:2025.09.04 06:30,1
sweep_at:2025.09.04 09:15,1
sweep_at:2025.09.17 05:45,1
sweep_at:2025.09.17 21:15,1
sweep_at:2025.09.25 05:45,1
sweep_at:2025.09.25 17:00,1
sweep_at:2025.10.01 09:30,1
sweep_at:2025.10.02 04:15,1
sweep_at:2025.10.22 07:00,1
sweep_at:2025.11.03 07:45,1
sweep_at:2025.11.03 10:15,1
sweep_at:2025.11.04 11:00,1
sweep_at:2025.11.05 07:00,1
sweep_at:2025.11.05 11:15,1
sweep_at:2025.11.11 17:30,1
sweep_at:2025.11.18 12:00,1
sweep_at:2025.11.25 16:30,1
sweep_at:2025.11.26 20:30,1
sweep_at:2025.11.27 03:15,1
sweep_at:2025.12.02 04:45,1
sweep_at:2025.12.05 07:15,1
sweep_at:2025.12.05 11:15,1
sweep_at:2025.12.05 18:15,1
sweep_at:2025.12.08 08:15,1
sweep_at:2025.12.11 07:00,1
sweep_at:2025.12.12 18:45,1
sweep_at:2025.12.23 16:15,1
sweep_at:2025.12.30 07:45,1
sweep_at:2025.12.30 12:45,1
sweep_at:2026.01.07 07:15,1
sweep_at:2026.01.08 04:15,1
sweep_at:2026.01.13 20:30,1
sweep_at:2026.01.13 22:45,1
sweep_at:2026.01.15 03:45,1
sweep_at:2026.01.23 15:00,1
sweep_at:2026.02.06 08:15,1
sweep_at:2026.02.10 07:45,1
sweep_at:2026.02.13 15:45,1
sweep_at:2026.02.23 10:45,1
sweep_at:2026.02.24 07:00,1
sweep_at:2026.03.02 18:30,1
sweep_at:2026.03.12 03:45,1
sweep_at:2026.03.16 08:30,1
sweep_at:2026.03.16 16:15,1
sweep_at:2026.03.20 15:15,1
sweep_at:2026.03.20 15:30,1
sweep_at:2026.03.23 15:15,1
sweep_at:2026.03.25 12:00,1
sweep_at:2026.04.08 13:30,1
sweep_at:2026.04.08 14:45,1
sweep_at:2026.04.10 10:30,1
sweep_at:2026.04.15 09:45,1
sweep_at:2026.04.15 14:30,1
sweep_at:2026.04.16 11:45,1
sweep_at:2026.04.16 17:15,1
